Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202207022330,Central Pier,Southeast,30,50
202207022330,Chek Lap Kok,South,42,70
202207022330,Cheung Chau,Southeast,43,55
202207022330,Cheung Chau Beach,South,21,38
202207022330,Green Island,South,61,78
202207022330,Kai Tak,Southeast,23,42
202207022330,King's Park,Southeast,30,53
202207022330,Lamma Island,Southeast,34,49
202207022330,Lau Fau Shan,Southeast,35,53
202207022330,Ngong Ping,N/A,N/A,N/A
202207022330,North Point,Variable,4,17
202207022330,Peng Chau,South,34,58
202207022330,Sai Kung,South,42,57
202207022330,Sha Chau,South,63,95
202207022330,Sha Tin,South,19,47
202207022330,Shek Kong,N/A,N/A,N/A
202207022330,Stanley,N/A,N/A,N/A
202207022330,Star Ferry,East,29,47
202207022330,Ta Kwu Ling,Southeast,15,30
202207022330,Tai Mei Tuk,South,11,45
202207022330,Tai Po Kau,Southeast,16,32
202207022330,Tap Mun,Southeast,48,76
202207022330,Tate's Cairn,South,51,78
202207022330,Tseung Kwan O,Variable,3,9
202207022330,Tsing Yi,Southeast,44,64
202207022330,Tuen Mun,Southeast,35,65
202207022330,Waglan Island,Southeast,43,48
202207022330,Wetland Park,Southeast,19,48
202207022330,Wong Chuk Hang,Northwest,16,38
