Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202310081040,Central Pier,Northeast,15,33
202310081040,Chek Lap Kok,North,19,27
202310081040,Cheung Chau,North,51,70
202310081040,Cheung Chau Beach,North,34,51
202310081040,Green Island,North,58,75
202310081040,Hong Kong Sea School,North,54,85
202310081040,Kai Tak,East,25,45
202310081040,King's Park,North,18,40
202310081040,Lamma Island,North,23,48
202310081040,Lau Fau Shan,North,28,39
202310081040,Ngong Ping,Northeast,45,70
202310081040,North Point,Northeast,39,54
202310081040,Peng Chau,North,31,44
202310081040,Sai Kung,North,23,39
202310081040,Sha Chau,North,48,59
202310081040,Sha Tin,Northeast,21,36
202310081040,Shek Kong,N/A,N/A,N/A
202310081040,Stanley,North,20,53
202310081040,Star Ferry,West,5,10
202310081040,Ta Kwu Ling,North,19,40
202310081040,Tai Mei Tuk,Northeast,46,69
202310081040,Tai Po Kau,N/A,N/A,N/A
202310081040,Tap Mun,North,21,42
202310081040,Tate's Cairn,Northeast,84,112
202310081040,Tseung Kwan O,North,14,32
202310081040,Tsing Yi,Northwest,17,27
202310081040,Tuen Mun,North,9,20
202310081040,Waglan Island,North,68,83
202310081040,Wetland Park,North,5,20
202310081040,Wong Chuk Hang,East,17,51
