Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202208022150,Central Pier,East,5,10
202208022150,Chek Lap Kok,East,17,24
202208022150,Cheung Chau,Southeast,22,30
202208022150,Cheung Chau Beach,East,12,21
202208022150,Green Island,South,11,19
202208022150,Kai Tak,Southeast,6,11
202208022150,King's Park,South,5,8
202208022150,Lamma Island,South,7,12
202208022150,Lau Fau Shan,Southeast,13,19
202208022150,Ngong Ping,N/A,N/A,N/A
202208022150,North Point,East,6,11
202208022150,Peng Chau,South,10,16
202208022150,Sai Kung,Northeast,1,9
202208022150,Sha Chau,Southeast,19,27
202208022150,Sha Tin,East,4,8
202208022150,Shek Kong,N/A,N/A,N/A
202208022150,Stanley,N/A,N/A,N/A
202208022150,Star Ferry,East,4,7
202208022150,Ta Kwu Ling,Variable,1,5
202208022150,Tai Mei Tuk,Variable,1,7
202208022150,Tai Po Kau,Northeast,3,8
202208022150,Tap Mun,Southwest,6,9
202208022150,Tate's Cairn,East,12,13
202208022150,Tseung Kwan O,Northwest,1,5
202208022150,Tsing Yi,Southeast,5,14
202208022150,Tuen Mun,Variable,8,19
202208022150,Waglan Island,Variable,3,7
202208022150,Wetland Park,Southeast,1,5
202208022150,Wong Chuk Hang,North,1,5
