Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202211011440,Central Pier,Northwest,11,23
202211011440,Chek Lap Kok,Northeast,25,46
202211011440,Cheung Chau,North,46,67
202211011440,Cheung Chau Beach,Northeast,40,60
202211011440,Green Island,North,38,49
202211011440,Hong Kong Sea School,Northeast,30,65
202211011440,Kai Tak,North,16,44
202211011440,King's Park,North,12,32
202211011440,Lamma Island,Northwest,18,35
202211011440,Lau Fau Shan,Northeast,24,42
202211011440,Ngong Ping,Northeast,44,63
202211011440,North Point,Variable,5,12
202211011440,Peng Chau,North,39,55
202211011440,Sai Kung,North,15,44
202211011440,Sha Chau,North,42,51
202211011440,Sha Tin,Northeast,14,31
202211011440,Shek Kong,N/A,N/A,N/A
202211011440,Stanley,N/A,N/A,N/A
202211011440,Star Ferry,West,8,16
202211011440,Ta Kwu Ling,Northeast,15,34
202211011440,Tai Mei Tuk,North,25,44
202211011440,Tai Po Kau,West,8,17
202211011440,Tap Mun,North,25,46
202211011440,Tate's Cairn,North,62,80
202211011440,Tseung Kwan O,North,12,24
202211011440,Tsing Yi,Northwest,12,30
202211011440,Tuen Mun,North,21,46
202211011440,Waglan Island,North,48,60
202211011440,Wetland Park,Northeast,10,24
202211011440,Wong Chuk Hang,Northwest,12,28
