Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202309011000,Central Pier,West,23,30
202309011000,Chek Lap Kok,Northwest,23,30
202309011000,Cheung Chau,North,30,44
202309011000,Cheung Chau Beach,Northeast,21,40
202309011000,Green Island,Northwest,29,34
202309011000,Hong Kong Sea School,North,14,33
202309011000,Kai Tak,Northwest,22,40
202309011000,King's Park,Northwest,12,29
202309011000,Lamma Island,Northwest,39,46
202309011000,Lau Fau Shan,North,26,35
202309011000,Ngong Ping,Northeast,21,39
202309011000,North Point,Northwest,12,22
202309011000,Peng Chau,Northwest,37,50
202309011000,Sai Kung,Northwest,24,45
202309011000,Sha Chau,North,32,44
202309011000,Sha Tin,North,6,21
202309011000,Shek Kong,N/A,8,14
202309011000,Stanley,N/A,N/A,N/A
202309011000,Star Ferry,West,23,29
202309011000,Ta Kwu Ling,North,5,17
202309011000,Tai Mei Tuk,Variable,6,17
202309011000,Tai Po Kau,N/A,N/A,N/A
202309011000,Tap Mun,Northwest,22,39
202309011000,Tate's Cairn,North,53,66
202309011000,Tseung Kwan O,North,12,30
202309011000,Tsing Yi,Northwest,16,30
202309011000,Tuen Mun,North,7,17
202309011000,Waglan Island,Northwest,38,48
202309011000,Wetland Park,North,4,14
202309011000,Wong Chuk Hang,Northwest,12,34
