Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202307170700,Central Pier,East,42,75
202307170700,Chek Lap Kok,East,44,64
202307170700,Cheung Chau,East,68,92
202307170700,Cheung Chau Beach,East,71,96
202307170700,Green Island,N/A,43,70
202307170700,Hong Kong Sea School,East,54,81
202307170700,Kai Tak,East,36,69
202307170700,King's Park,East,32,61
202307170700,Lamma Island,East,43,72
202307170700,Lau Fau Shan,East,33,58
202307170700,Ngong Ping,East,96,138
202307170700,North Point,East,52,83
202307170700,Peng Chau,East,59,78
202307170700,Sai Kung,East,42,60
202307170700,Sha Chau,East,45,60
202307170700,Sha Tin,Northeast,21,46
202307170700,Shek Kong,N/A,N/A,N/A
202307170700,Stanley,Southeast,48,68
202307170700,Star Ferry,East,45,70
202307170700,Ta Kwu Ling,East,21,39
202307170700,Tai Mei Tuk,East,58,81
202307170700,Tai Po Kau,N/A,N/A,N/A
202307170700,Tap Mun,East,63,84
202307170700,Tate's Cairn,East,76,101
202307170700,Tseung Kwan O,Southeast,14,38
202307170700,Tsing Yi,Southeast,31,55
202307170700,Tuen Mun,Southeast,10,29
202307170700,Waglan Island,East,73,89
202307170700,Wetland Park,East,19,39
202307170700,Wong Chuk Hang,East,19,41
