Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202411140050,Central Pier,East,23,42
202411140050,Chek Lap Kok,Northeast,17,25
202411140050,Cheung Chau,North,28,42
202411140050,Cheung Chau Beach,Northeast,24,38
202411140050,Green Island,Northeast,32,63
202411140050,Hong Kong Sea School,Northeast,42,84
202411140050,Kai Tak,Northeast,14,42
202411140050,King's Park,Northeast,25,51
202411140050,Lamma Island,Northeast,15,40
202411140050,Lau Fau Shan,East,10,18
202411140050,Ngong Ping,Northeast,39,49
202411140050,North Point,East,36,51
202411140050,Peng Chau,North,12,18
202411140050,Sai Kung,Northeast,30,54
202411140050,Sha Chau,Northeast,27,32
202411140050,Sha Tin,North,11,25
202411140050,Shek Kong,Southwest,1,6
202411140050,Stanley,East,29,61
202411140050,Star Ferry,East,12,36
202411140050,Ta Kwu Ling,East,3,8
202411140050,Tai Mei Tuk,Northeast,31,45
202411140050,Tai Po Kau,East,18,30
202411140050,Tap Mun,Northeast,23,36
202411140050,Tate's Cairn,East,50,77
202411140050,Tseung Kwan O,Variable,15,43
202411140050,Tsing Yi,Southwest,7,17
202411140050,Tuen Mun,North,7,15
202411140050,Waglan Island,Northeast,65,79
202411140050,Wetland Park,Northeast,3,9
202411140050,Wong Chuk Hang,East,18,42
