Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202409051800,Central Pier,East,42,71
202409051800,Chek Lap Kok,Northeast,32,41
202409051800,Cheung Chau,Northeast,55,78
202409051800,Cheung Chau Beach,Northeast,64,82
202409051800,Green Island,Northeast,63,80
202409051800,Hong Kong Sea School,Northeast,50,80
202409051800,Kai Tak,Variable,19,42
202409051800,King's Park,Northeast,22,43
202409051800,Lamma Island,East,39,61
202409051800,Lau Fau Shan,East,30,49
202409051800,Ngong Ping,East,67,89
202409051800,North Point,East,49,68
202409051800,Peng Chau,East,40,54
202409051800,Sai Kung,Northeast,34,54
202409051800,Sha Chau,Northeast,36,67
202409051800,Sha Tin,Northeast,14,30
202409051800,Shek Kong,N/A,28,58
202409051800,Stanley,East,29,65
202409051800,Star Ferry,East,24,42
202409051800,Ta Kwu Ling,Northeast,15,28
202409051800,Tai Mei Tuk,Northeast,46,68
202409051800,Tai Po Kau,N/A,N/A,N/A
202409051800,Tap Mun,East,40,51
202409051800,Tate's Cairn,East,58,81
202409051800,Tseung Kwan O,Northeast,22,51
202409051800,Tsing Yi,Southeast,13,35
202409051800,Tuen Mun,North,21,40
202409051800,Waglan Island,Northeast,72,83
202409051800,Wetland Park,Northeast,12,32
202409051800,Wong Chuk Hang,East,30,67
